symbol,date,close,high,low,open
AAPL,2021-01-29 20:05:00+00:00,132.54,132.7,132.29,132.48
AAPL,2021-01-29 20:10:00+00:00,132.76,132.97,132.49,132.535
AAPL,2021-01-29 20:15:00+00:00,132.73,132.875,132.54,132.765
AAPL,2021-01-29 20:20:00+00:00,133.005,133.21,132.7,132.7
AAPL,2021-01-29 20:25:00+00:00,132.53,133.11,132.5,133.0
AAPL,2021-01-29 20:30:00+00:00,133.42,133.45,132.55,132.55
AAPL,2021-01-29 20:35:00+00:00,132.65,133.495,132.645,133.41
AAPL,2021-01-29 20:40:00+00:00,132.765,132.95,132.58,132.67
AAPL,2021-01-29 20:45:00+00:00,132.35,132.84,132.17,132.73
AAPL,2021-01-29 20:50:00+00:00,132.59,132.87,132.25,132.265
AAPL,2021-01-29 20:55:00+00:00,131.78,132.785,131.765,132.58
AAPL,2021-01-29 21:00:00+00:00,132.1,132.52,132.1,132.52
AAPL,2021-02-01 14:30:00+00:00,134.61,134.67,133.38,133.69
AAPL,2021-02-01 14:35:00+00:00,133.615,134.8,133.39,134.71
AAPL,2021-02-01 14:40:00+00:00,133.2,133.715,132.93,133.6
AAPL,2021-02-01 14:45:00+00:00,131.4,133.22,131.35,133.195
AAPL,2021-02-01 14:50:00+00:00,131.43,131.91,130.96,131.38
AAPL,2021-02-01 14:55:00+00:00,132.27,132.27,131.41,131.435
AAPL,2021-02-01 15:00:00+00:00,132.14,132.28,131.71,132.15
AAPL,2021-02-01 15:05:00+00:00,131.39,132.095,131.27,132.095
AAPL,2021-02-01 15:10:00+00:00,132.46,132.58,131.38,131.38
AAPL,2021-02-01 15:15:00+00:00,132.525,132.84,132.21,132.515
AAPL,2021-02-01 15:20:00+00:00,133.105,133.14,132.415,132.53
AAPL,2021-02-01 15:25:00+00:00,133.145,133.27,132.78,133.1
AAPL,2021-02-01 15:30:00+00:00,133.25,133.44,133.11,133.305
AAPL,2021-02-01 15:35:00+00:00,133.105,133.47,132.93,133.345
AAPL,2021-02-01 15:40:00+00:00,133.52,133.715,133.055,133.11
AAPL,2021-02-01 15:45:00+00:00,133.675,133.83,133.43,133.51
AAPL,2021-02-01 15:50:00+00:00,133.03,133.735,132.985,133.67
AAPL,2021-02-01 15:55:00+00:00,132.92,133.13,132.48,133.01
AAPL,2021-02-01 16:00:00+00:00,132.625,132.955,132.3,132.95
AAPL,2021-02-01 16:05:00+00:00,133.13,133.18,132.58,132.635
AAPL,2021-02-01 16:10:00+00:00,133.3,133.55,133.0,133.145
AAPL,2021-02-01 16:15:00+00:00,133.435,133.52,133.23,133.385
AAPL,2021-02-01 16:20:00+00:00,133.77,133.79,133.275,133.44
AAPL,2021-02-01 16:25:00+00:00,134.03,134.09,133.63,133.78
AAPL,2021-02-01 16:30:00+00:00,134.035,134.15,133.65,134.02
AAPL,2021-02-01 16:35:00+00:00,134.01,134.16,133.85,134.04
AAPL,2021-02-01 16:40:00+00:00,134.075,134.375,134.0,134.045
AAPL,2021-02-01 16:45:00+00:00,134.29,134.35,134.05,134.09
AAPL,2021-02-01 16:50:00+00:00,134.37,134.42,134.14,134.285
AAPL,2021-02-01 16:55:00+00:00,133.77,134.37,133.72,134.36
AAPL,2021-02-01 17:00:00+00:00,134.13,134.2,133.76,133.77
AAPL,2021-02-01 17:05:00+00:00,134.51,134.58,134.14,134.14
AAPL,2021-02-01 17:10:00+00:00,134.7,134.77,134.39,134.535
AAPL,2021-02-01 17:15:00+00:00,134.53,134.85,134.53,134.69
AAPL,2021-02-01 17:20:00+00:00,134.775,134.825,134.53,134.56
AAPL,2021-02-01 17:25:00+00:00,134.915,134.92,134.52,134.76
AAPL,2021-02-01 17:30:00+00:00,134.515,134.975,134.47,134.93
AAPL,2021-02-01 17:35:00+00:00,134.58,134.64,134.37,134.52
AAPL,2021-02-01 17:40:00+00:00,134.42,134.76,134.42,134.565
AAPL,2021-02-01 17:45:00+00:00,134.44,134.54,134.32,134.425
AAPL,2021-02-01 17:50:00+00:00,134.62,134.62,134.395,134.43
AAPL,2021-02-01 17:55:00+00:00,134.825,134.865,134.485,134.61
AAPL,2021-02-01 18:00:00+00:00,134.755,134.87,134.68,134.825
AAPL,2021-02-01 18:05:00+00:00,134.87,134.99,134.72,134.75
AAPL,2021-02-01 18:10:00+00:00,134.98,135.01,134.63,134.86
AAPL,2021-02-01 18:15:00+00:00,134.975,135.01,134.82,134.98
AAPL,2021-02-01 18:20:00+00:00,135.38,135.38,134.93,134.965
AAPL,2021-02-01 18:25:00+00:00,134.9,135.37,134.865,135.37
AAPL,2021-02-01 18:30:00+00:00,134.98,135.11,134.89,134.89
AAPL,2021-02-01 18:35:00+00:00,134.67,134.985,134.465,134.98
AAPL,2021-02-01 18:40:00+00:00,134.51,134.775,134.42,134.66
AAPL,2021-02-01 18:45:00+00:00,134.37,134.665,134.28,134.55
AAPL,2021-02-01 18:50:00+00:00,134.56,134.58,134.305,134.375
AAPL,2021-02-01 18:55:00+00:00,134.73,134.765,134.47,134.56
